feature,importance
packer_count,80596.86819930076
cpu_count,5302.608497035503
size_W,2452.536767357588
size_W_weight,2051.9576053708793
yargen_count,1497.8635927677155
size_R_weight,1312.7484615653752
gpu_count,812.4719377875329
entr_X,727.2872670441866
regs_count,717.0955748856068
size_X_weight,691.0354215979576
mz_count,580.5668844342232
pe_count,558.2220026314259
ltc_count,507.0800802230835
size_X,502.8910433501005
pool_count,479.1776422917843
entr_W,469.2934132456779
entr_R,442.93614292144775
size_R,438.08029978871343
urls_mean,379.4940992236137
urls_count,358.47192999720573
opcode_sum,353.31314750909803
opcode_min,296.2033018887043
opcode_count,287.7434452116489
pool_name_count,281.3377190709114
file_size,274.2885117322206
opcode_uniq,274.0751023709774
paths_mean,267.4374207168818
ips_count,249.10993525981903
xmr_mean,246.29449482262135
opcode_mean,236.47818284928798
coin_name_count,228.56241244673728
entr_X_weight,213.4237081050873
opcode_var,204.24949598312378
entr_W_weight,203.91033498048782
entr_R_weight,203.73915266990662
opcode_max,190.6274869531393
xmr_count,185.67264914512634
ltc_mean,184.6392903327942
section_num,183.12661464214324
ips_mean,117.64587214589119
paths_count,104.12097195386886
av_count,94.77431080937386
coin_count,91.56175391674041
entry,85.79575201869011
dbg_count,84.91893727183341
algorithm_name_count,83.4844787299633
btc_count,73.09352407455444
cpu_mean,63.62745609283447
btc_mean,55.49022610187531
pool_mean,34.65336552858353
gpu_mean,11.86370391845703
rsrc_num,8.144877934455872
regs_mean,6.5835234999656675
coin_mean,1.7688100814819336
pe_mean,0.0
mz_mean,0.0
